# Solver information    
# Time                  	U_solver                	Ux_initial              	Ux_final                	Ux_iters                	Uy_initial              	Uy_final                	Uy_iters                	U_converged             	epsilon_solver          	epsilon_initial         	epsilon_final           	epsilon_iters           	epsilon_converged       	k_solver                	k_initial               	k_final                 	k_iters                 	k_converged             	p_solver                	p_initial               	p_final                 	p_iters                 	p_converged             
0.14                    	smoothSolver	1.7035600000000001e-02	3.1751599999999999e-06	3	1.8991299999999999e-02	3.6583400000000000e-06	3	false	smoothSolver	2.1357899999999998e-03	3.5323300000000000e-06	2	true	smoothSolver	1.8910699999999999e-02	2.7183200000000000e-06	3	true	GAMG	1.8252999999999998e-02	1.6863700000000000e-03	1	true
0.145                   	smoothSolver	1.6215600000000000e-02	2.9854200000000000e-06	3	1.8067400000000001e-02	3.5038299999999998e-06	3	false	smoothSolver	2.0376299999999999e-03	3.3619200000000001e-06	2	true	smoothSolver	1.8005600000000000e-02	2.6440699999999998e-06	3	true	GAMG	1.5819699999999999e-02	1.5148600000000000e-03	1	true
0.15                    	smoothSolver	1.5566900000000000e-02	2.8175999999999999e-06	3	1.7339299999999998e-02	3.3712000000000000e-06	3	false	smoothSolver	1.9486900000000001e-03	3.2090399999999999e-06	2	true	smoothSolver	1.7163500000000002e-02	2.5701000000000002e-06	3	true	GAMG	1.3530100000000000e-02	2.3025500000000001e-04	2	true
0.155                   	smoothSolver	1.5026200000000000e-02	2.6692400000000000e-06	3	1.6670200000000000e-02	3.2521499999999999e-06	3	false	smoothSolver	1.8618199999999999e-03	3.0662099999999998e-06	2	true	smoothSolver	1.6411300000000000e-02	2.4951500000000002e-06	3	true	GAMG	1.2537400000000001e-02	2.2829299999999999e-04	2	true
0.16                    	smoothSolver	1.4518500000000000e-02	2.5427700000000001e-06	3	1.6109800000000001e-02	3.1392800000000000e-06	3	false	smoothSolver	1.7803999999999999e-03	2.9397000000000000e-06	2	true	smoothSolver	1.5717399999999999e-02	2.4246399999999999e-06	3	true	GAMG	1.2263700000000001e-02	2.3072600000000000e-04	2	true
0.165                   	smoothSolver	1.4038100000000000e-02	2.4358900000000000e-06	3	1.5640100000000001e-02	3.0393299999999998e-06	3	false	smoothSolver	1.6988299999999999e-03	2.8062700000000002e-06	2	true	smoothSolver	1.5070099999999999e-02	2.3505300000000002e-06	3	true	GAMG	1.2423099999999999e-02	2.3762800000000001e-04	2	true
0.17                    	smoothSolver	1.3585800000000000e-02	2.3501000000000002e-06	3	1.5199100000000000e-02	2.9633900000000000e-06	3	false	smoothSolver	1.6351700000000000e-03	2.7059499999999999e-06	2	true	smoothSolver	1.4470700000000000e-02	2.2970799999999999e-06	3	true	GAMG	1.3297200000000000e-02	2.4890399999999999e-04	2	true
0.175                   	smoothSolver	1.3150600000000000e-02	2.2784200000000002e-06	3	1.4792200000000000e-02	2.8944799999999999e-06	3	false	smoothSolver	1.5726700000000000e-03	2.6082100000000001e-06	2	true	smoothSolver	1.3903199999999999e-02	2.2388699999999999e-06	3	true	GAMG	1.2900600000000000e-02	2.5324300000000000e-04	2	true
0.18                    	smoothSolver	1.2755100000000000e-02	2.2279400000000001e-06	3	1.4427499999999999e-02	2.8403999999999999e-06	3	false	smoothSolver	1.5136300000000000e-03	2.5175500000000001e-06	2	true	smoothSolver	1.3395000000000001e-02	2.1905800000000001e-06	3	true	GAMG	1.3623600000000000e-02	2.6611400000000002e-04	2	true
0.185                   	smoothSolver	1.2381900000000000e-02	2.1923799999999998e-06	3	1.4088000000000000e-02	2.7920800000000002e-06	3	false	smoothSolver	1.4579700000000001e-03	2.4373500000000001e-06	2	true	smoothSolver	1.2922500000000000e-02	2.1141199999999999e-06	3	true	GAMG	1.3705500000000001e-02	2.6349199999999999e-04	2	true
0.19                    	smoothSolver	1.2037100000000000e-02	2.1443000000000000e-06	3	1.3747199999999999e-02	2.7384100000000002e-06	3	false	smoothSolver	1.4083399999999999e-03	2.3618800000000001e-06	2	true	smoothSolver	1.2475900000000000e-02	2.0688500000000001e-06	3	true	GAMG	1.4099600000000000e-02	2.8983699999999998e-04	2	true
0.195                   	smoothSolver	1.1674300000000000e-02	2.1138899999999999e-06	3	1.3398900000000000e-02	2.7027899999999999e-06	3	false	smoothSolver	1.3623999999999999e-03	2.2913300000000000e-06	2	true	smoothSolver	1.2051900000000001e-02	2.0148799999999998e-06	3	true	GAMG	1.2516500000000000e-02	2.9657000000000002e-04	2	true
0.2                     	smoothSolver	1.1375100000000001e-02	2.1210100000000000e-06	3	1.3133499999999999e-02	2.7536499999999999e-06	3	false	smoothSolver	1.3171999999999999e-03	2.2256899999999999e-06	2	true	smoothSolver	1.1667100000000000e-02	1.9714599999999998e-06	3	true	GAMG	1.2950300000000000e-02	3.0499800000000001e-04	2	true
0.205                   	smoothSolver	1.1082800000000000e-02	2.1160100000000000e-06	3	1.2874500000000001e-02	2.8110799999999999e-06	3	false	smoothSolver	1.2806300000000000e-03	2.1748899999999999e-06	2	true	smoothSolver	1.1311999999999999e-02	1.9379399999999999e-06	3	true	GAMG	1.5455900000000000e-02	3.1548600000000002e-04	2	true
0.21                    	smoothSolver	1.0761300000000000e-02	2.0929500000000000e-06	3	1.2514300000000001e-02	2.8469300000000002e-06	3	false	smoothSolver	1.2411799999999999e-03	2.1227900000000000e-06	2	true	smoothSolver	1.0972900000000001e-02	1.8982000000000001e-06	3	true	GAMG	1.2131899999999999e-02	2.9856799999999998e-04	2	true
0.215                   	smoothSolver	1.0493499999999999e-02	2.1057800000000001e-06	3	1.2408000000000001e-02	2.9193400000000000e-06	3	false	smoothSolver	1.2070799999999999e-03	2.0730299999999999e-06	2	true	smoothSolver	1.0648200000000000e-02	1.8680299999999999e-06	3	true	GAMG	1.2591000000000000e-02	3.1732499999999997e-04	2	true
